19,0.29,0.028,28
19,0.32,0.16,160
64,0.36,0.399,399
86,0.39,0.75,750
107,0.42,1.198,1198
126,0.45,1.735,1735
146,0.48,2.37,2370
166,0.51,3.106,3106
185,0.54,3.931,3931
206,0.58,4.902,4902
226,0.62,5.947,5947
246,0.65,7.088,7088
266,0.69,8.319,8319
284,0.73,9.639,9639
307,0.78,11.116,11116
323,0.82,12.595,12595
338,0.85,13.997,13997
358,0.88,15.816,15816
377,0.9,18.397,18397
